,,,,,,,,,
,Дата,Заказчик,Город,Регион,Категория,Товар,Цена за штуку,Количество,Выручка
,1/12/2021,Organica,Бремен,Север,Напитки,Зеленый чай,"0,95",35,"33,25"
,1/12/2021,Go Bio,Гамбург,Север,Крупы,Гречка,"1,4",134,"187,6"
,1/12/2021,Sweetables,Мюнхен,Юг,Сыры,Гауда,"1,59",408,"648,72"
,1/12/2021,Sweetables,Мюнхен,Юг,Сухофрукты,Сушеные яблоки,"1,09",101,"110,09"
,1/13/2021,Organica,Бремен,Север,Напитки,Черный чай,"0,99",94,"93,06"
,1/13/2021,Sweetables,Мюнхен,Юг,Крупы,Гречка,"1,4",166,"232,4"
,1/15/2021,Organica,Франкфурт,Запад,Сухофрукты,Курага,"1,19",34,"40,46"
,1/16/2021,Organica,Франкфурт,Запад,Сухофрукты,Изюм,"0,99",29,"28,71"
,1/16/2021,Organica,Франкфурт,Запад,Сладости,Мармелад,"0,6",49,"29,4"
,1/17/2021,Gold Food,Кёльн,Запад,Масла,Подсолнечное масло,"1,19",188,"223,72"
,1/17/2021,Cooking Corner,Штутгарт,Юг,Масла,Оливковое масло,"1,7",126,"214,2"
,1/18/2021,Gold Food,Кёльн,Запад,Сыры,Филадельфия ,"0,89",71,"63,19"
,1/18/2021,Cooking Corner,Штутгарт,Юг,Крупы,Перловка,"1,2",518,"621,6"
,1/19/2021,Cooking Corner,Кёльн,Запад,Крупы,Рис,"0,96",644,"618,24"
,1/19/2021,foodbite,Кёльн,Запад,Сухофрукты,Курага,"1,19",168,"199,92"
,1/19/2021,Go Bio,Кёльн,Запад,Специи,Базилик,"0,7",35,"24,5"
,1/19/2021,Cooking Corner,Штутгарт,Юг,Консервы,Килька в томате,"0,89",272,"242,08"
,1/19/2021,NutriFix,Дрезден,Восток,Специи,Базилик,"0,7",21,"14,7"
,1/20/2021,Cooking Corner,Кёльн,Запад,Сладости,Шоколад,"0,55",582,"320,1"
,1/20/2021,foodbite,Кёльн,Запад,Масла,Подсолнечное масло,"1,19",372,"442,68"
,1/20/2021,mymeal,Штутгарт,Юг,Напитки,Кофе,"5,5",92,506
,1/20/2021,foodbite,Бремен,Север,Специи,Базилик,"0,7",53,"37,1"
,1/20/2021,foodbite,Дрезден,Восток,Крупы,Перловка,"1,2",165,198
,1/20/2021,foodbite,Дрезден,Восток,Сладости,Мармелад,"0,6",63,"37,8"
,1/20/2021,NutriFix,Дрезден,Восток,Сладости,Шоколад,"0,55",80,44
,1/20/2021,NutriFix,Дрезден,Восток,Крупы,Рис,"0,96",109,"104,64"
,1/21/2021,Cooking Corner,Бремен,Север,Консервы,Шпроты,"1,15",63,"72,45"
,1/21/2021,Cooking Corner,Бремен,Север,Сухофрукты,Изюм,"0,99",77,"76,23"
,1/21/2021,NutriFix,Бремен,Север,Специи,Кориандр,"0,65",10,"6,5"
,1/21/2021,Organica,Бремен,Север,Напитки,Кофе,"5,5",28,154
,1/21/2021,foodbite,Дрезден,Восток,Напитки,Кофе,"5,5",78,429
,1/21/2021,Organica,Берлин,Восток,Консервы,Говядина тушеная,"1,19",96,"114,24"
,1/21/2021,Organica,Берлин,Восток,Специи,Кориандр,"0,65",59,"38,35"
,1/21/2021,Sweetables,Мюнхен,Юг,Сыры,Моцарелла,"0,59",223,"131,57"
,1/22/2021,Sweetables,Бремен,Север,Масла,Подсолнечное масло,"1,19",146,"173,74"
,1/22/2021,Sweetables,Бремен,Север,Крупы,Рис,"0,96",210,"201,6"
,1/22/2021,Organica,Бремен,Север,Сладости,Зефир,"0,65",16,"10,4"
,1/22/2021,Cooking Corner,Дрезден,Восток,Масла,Оливковое масло,"1,7",41,"69,7"
,1/22/2021,Organica,Берлин,Восток,Сыры,Филадельфия ,"0,89",242,"215,38"
,1/22/2021,mymeal,Мюнхен,Юг,Крупы,Рис,"0,96",510,"489,6"
,1/23/2021,Organica,Штутгарт,Юг,Консервы,Говядина тушеная,"1,19",58,"69,02"
,1/23/2021,Cooking Corner,Дрезден,Восток,Сухофрукты,Сушеные яблоки,"1,09",36,"39,24"
,1/23/2021,Cooking Corner,Дрезден,Восток,Масла,Оливковое масло,"1,7",53,"90,1"
,1/23/2021,mymeal,Мюнхен,Юг,Сладости,Зефир,"0,65",74,"48,1"
,1/23/2021,Go Bio,Мюнхен,Юг,Сухофрукты,Изюм,"0,99",101,"99,99"
,1/23/2021,Go Bio,Мюнхен,Юг,Крупы,Гречка,"1,4",106,"148,4"
,1/24/2021,Organica,Штутгарт,Юг,Специи,Базилик,"0,7",60,42
,1/24/2021,Go Bio,Мюнхен,Юг,Специи,Базилик,"0,7",64,"44,8"
,1/25/2021,Cooking Corner,Гамбург,Север,Сухофрукты,Курага,"1,19",309,"367,71"
,1/25/2021,foodbite,Гамбург,Север,Консервы,Шпроты,"1,15",120,138
,1/25/2021,Go Bio,Дрезден,Восток,Сладости,Мармелад,"0,6",34,"20,4"
,1/25/2021,NutriFix,Гамбург,Север,Масла,Оливковое масло,"1,7",107,"181,9"
,1/25/2021,Organica,Гамбург,Север,Консервы,Шпроты,"1,15",96,"110,4"
,1/26/2021,Cooking Corner,Гамбург,Север,Сухофрукты,Изюм,"0,99",359,"355,41"
,1/26/2021,Cooking Corner,Гамбург,Север,Напитки,Черный чай,"0,99",1017,"1006,83"
,1/26/2021,foodbite,Гамбург,Север,Консервы,Говядина тушеная,"1,19",198,"235,62"
,1/26/2021,Cooking Corner,Гамбург,Север,Консервы,Шпроты,"1,15",178,"204,7"
,1/26/2021,NutriFix,Бремен,Север,Масла,Сливочное масло,"1,5",100,150
,1/26/2021,Organica,Берлин,Восток,Масла,Подсолнечное масло,"1,19",341,"405,79"
,1/26/2021,Sweetables,Гамбург,Север,Крупы,Перловка,"1,2",427,"512,4"
,1/26/2021,Sweetables,Гамбург,Север,Специи,Черный перец,"0,59",200,118
,1/26/2021,Gold Food,Гамбург,Север,Масла,Оливковое масло,"1,7",142,"241,4"
,1/26/2021,Gold Food,Гамбург,Север,Специи,Черный перец,"0,59",388,"228,92"
,1/26/2021,Organica,Гамбург,Север,Напитки,Зеленый чай,"0,95",360,342
,1/27/2021,Cooking Corner,Гамбург,Север,Сладости,Зефир,"0,65",207,"134,55"
,1/27/2021,Sweetables,Гамбург,Север,Сухофрукты,Сушеные яблоки,"1,09",106,"115,54"
,1/27/2021,Sweetables,Гамбург,Север,Сыры,Гауда,"1,59",424,"674,16"
,1/27/2021,Sweetables,Гамбург,Север,Напитки,Зеленый чай,"0,95",323,"306,85"
,1/27/2021,NutriFix,Бремен,Север,Сыры,Гауда,"1,59",170,"270,3"
,1/27/2021,Gold Food,Дрезден,Восток,Напитки,Черный чай,"0,99",83,"82,17"
,1/27/2021,Organica,Берлин,Восток,Консервы,Шпроты,"1,15",138,"158,7"
,1/27/2021,Cooking Corner,Гамбург,Север,Сухофрукты,Сушеные яблоки,"1,09",174,"189,66"
,1/27/2021,Sweetables,Гамбург,Север,Крупы,Гречка,"1,4",196,"274,4"
,1/28/2021,Gold Food,Гамбург,Север,Консервы,Килька в томате,"0,89",185,"164,65"
,1/28/2021,NutriFix,Берлин,Восток,Сухофрукты,Изюм,"0,99",255,"252,45"
,1/28/2021,Cooking Corner,Гамбург,Север,Крупы,Гречка,"1,4",472,"660,8"
,1/28/2021,NutriFix,Кёльн,Запад,Напитки,Зеленый чай,"0,95",94,"89,3"
,1/28/2021,mymeal,Франкфурт,Запад,Сыры,Моцарелла,"0,59",134,"79,06"
,1/28/2021,mymeal,Франкфурт,Запад,Специи,Базилик,"0,7",25,"17,5"
,1/28/2021,foodbite,Бремен,Север,Крупы,Перловка,"1,2",200,240
,1/28/2021,Cooking Corner,Гамбург,Север,Специи,Базилик,"0,7",184,"128,8"
,1/28/2021,Cooking Corner,Гамбург,Север,Специи,Кориандр,"0,65",76,"49,4"
,1/29/2021,Go Bio,Гамбург,Север,Специи,Кориандр,"0,65",34,"22,1"
,1/29/2021,Go Bio,Гамбург,Север,Крупы,Гречка,"1,4",148,"207,2"
,1/29/2021,Go Bio,Мюнхен,Юг,Специи,Базилик,"0,7",68,"47,6"
,1/29/2021,Go Bio,Мюнхен,Юг,Консервы,Шпроты,"1,15",74,"85,1"
,1/29/2021,Sweetables,Кёльн,Запад,Сыры,Филадельфия ,"0,89",71,"63,19"
,1/29/2021,Sweetables,Кёльн,Запад,Сухофрукты,Курага,"1,19",67,"79,73"
,1/29/2021,Organica,Франкфурт,Запад,Консервы,Шпроты,"1,15",15,"17,25"
,1/29/2021,NutriFix,Берлин,Восток,Крупы,Рис,"0,96",674,"647,04"
,1/29/2021,foodbite,Гамбург,Север,Сухофрукты,Изюм,"0,99",252,"249,48"
,1/29/2021,foodbite,Кёльн,Запад,Сыры,Гауда,"1,59",478,"760,02"
,1/29/2021,NutriFix,Кёльн,Запад,Консервы,Говядина тушеная,"1,19",57,"67,83"
,1/29/2021,foodbite,Бремен,Север,Консервы,Килька в томате,"0,89",69,"61,41"
,1/29/2021,foodbite,Бремен,Север,Специи,Кориандр,"0,65",28,"18,2"
,1/29/2021,Cooking Corner,Дрезден,Восток,Сухофрукты,Изюм,"0,99",70,"69,3"
,1/29/2021,Gold Food,Бремен,Север,Специи,Базилик,"0,7",29,"20,3"
,1/29/2021,NutriFix,Бремен,Север,Крупы,Гречка,"1,4",50,70
,1/29/2021,NutriFix,Бремен,Север,Консервы,Говядина тушеная,"1,19",25,"29,75"
,1/30/2021,foodbite,Мюнхен,Юг,Сыры,Моцарелла,"0,59",594,"350,46"
,1/30/2021,Sweetables,Мюнхен,Юг,Масла,Сливочное масло,"1,5",271,"406,5"
,1/30/2021,Sweetables,Кёльн,Запад,Консервы,Шпроты,"1,15",47,"54,05"
,1/30/2021,mymeal,Штутгарт,Юг,Крупы,Рис,"0,96",462,"443,52"
,1/30/2021,Cooking Corner,Берлин,Восток,Сладости,Шоколад,"0,55",1666,"916,3"
,1/30/2021,NutriFix,Гамбург,Север,Масла,Оливковое масло,"1,7",142,"241,4"
,1/30/2021,Organica,Гамбург,Север,Консервы,Говядина тушеная,"1,19",82,"97,58"
,1/30/2021,Go Bio,Штутгарт,Юг,Сладости,Зефир,"0,65",60,39
,1/30/2021,Cooking Corner,Бремен,Север,Сухофрукты,Изюм,"0,99",114,"112,86"
,1/30/2021,Cooking Corner,Бремен,Север,Сладости,Мармелад,"0,6",122,"73,2"
,1/30/2021,mymeal,Мюнхен,Юг,Масла,Сливочное масло,"1,5",375,"562,5"
,1/30/2021,mymeal,Мюнхен,Юг,Консервы,Говядина тушеная,"1,19",34,"40,46"
,1/30/2021,mymeal,Мюнхен,Юг,Сладости,Мармелад,"0,6",100,60
,1/30/2021,Sweetables,Франкфурт,Запад,Масла,Сливочное масло,"1,5",158,237
,1/30/2021,foodbite,Штутгарт,Юг,Консервы,Говядина тушеная,"1,19",54,"64,26"
,1/30/2021,foodbite,Штутгарт,Юг,Крупы,Перловка,"1,2",506,"607,2"
,1/30/2021,mymeal,Дрезден,Восток,Сухофрукты,Сушеные яблоки,"1,09",29,"31,61"
,1/31/2021,Sweetables,Мюнхен,Юг,Сладости,Мармелад,"0,6",193,"115,8"
,1/31/2021,NutriFix,Франкфурт,Запад,Напитки,Зеленый чай,"0,95",77,"73,15"
,1/31/2021,mymeal,Штутгарт,Юг,Сладости,Зефир,"0,65",64,"41,6"
,1/31/2021,Go Bio,Дрезден,Восток,Сладости,Мармелад,"0,6",35,21
,1/31/2021,Go Bio,Дрезден,Восток,Сыры,Гауда,"1,59",92,"146,28"
,1/31/2021,Cooking Corner,Берлин,Восток,Масла,Подсолнечное масло,"1,19",1028,"1223,32"
,1/31/2021,NutriFix,Гамбург,Север,Сухофрукты,Изюм,"0,99",116,"114,84"
,1/31/2021,Organica,Гамбург,Север,Консервы,Шпроты,"1,15",80,92
,1/31/2021,NutriFix,Штутгарт,Юг,Сладости,Зефир,"0,65",72,"46,8"
,1/31/2021,Go Bio,Штутгарт,Юг,Сыры,Моцарелла,"0,59",230,"135,7"
,1/31/2021,Gold Food,Кёльн,Запад,Сухофрукты,Сушеные яблоки,"1,09",67,"73,03"
,1/31/2021,Gold Food,Кёльн,Запад,Специи,Черный перец,"0,59",245,"144,55"
,1/31/2021,Sweetables,Франкфурт,Запад,Консервы,Шпроты,"1,15",46,"52,9"
,1/31/2021,Sweetables,Франкфурт,Запад,Консервы,Килька в томате,"0,89",36,"32,04"
,1/31/2021,Organica,Штутгарт,Юг,Масла,Оливковое масло,"1,7",64,"108,8"
,1/31/2021,mymeal,Дрезден,Восток,Сладости,Мармелад,"0,6",50,30
,2/1/2021,Sweetables,Мюнхен,Юг,Консервы,Шпроты,"1,15",133,"152,95"
,2/1/2021,Gold Food,Мюнхен,Юг,Специи,Черный перец,"0,59",378,"223,02"
,2/1/2021,NutriFix,Франкфурт,Запад,Сухофрукты,Изюм,"0,99",34,"33,66"
,2/1/2021,Sweetables,Штутгарт,Юг,Сыры,Моцарелла,"0,59",270,"159,3"
,2/1/2021,Cooking Corner,Берлин,Восток,Сухофрукты,Курага,"1,19",474,"564,06"
,2/1/2021,NutriFix,Гамбург,Север,Масла,Оливковое масло,"1,7",112,"190,4"
,2/1/2021,Go Bio,Штутгарт,Юг,Консервы,Шпроты,"1,15",68,"78,2"
,2/1/2021,Organica,Штутгарт,Юг,Масла,Сливочное масло,"1,5",214,321
,2/1/2021,Organica,Штутгарт,Юг,Сыры,Моцарелла,"0,59",128,"75,52"
,2/1/2021,mymeal,Бремен,Север,Сыры,Филадельфия ,"0,89",48,"42,72"
,2/1/2021,mymeal,Бремен,Север,Крупы,Гречка,"1,4",90,126
,2/1/2021,Sweetables,Бремен,Север,Сладости,Зефир,"0,65",33,"21,45"
,2/1/2021,Cooking Corner,Дрезден,Восток,Масла,Оливковое масло,"1,7",63,"107,1"
,2/2/2021,Gold Food,Мюнхен,Юг,Сыры,Моцарелла,"0,59",204,"120,36"
,2/2/2021,foodbite,Франкфурт,Запад,Масла,Подсолнечное масло,"1,19",176,"209,44"
,2/2/2021,Sweetables,Франкфурт,Запад,Напитки,Черный чай,"0,99",154,"152,46"
,2/2/2021,Sweetables,Франкфурт,Запад,Напитки,Черный чай,"0,99",130,"128,7"
,2/2/2021,Sweetables,Франкфурт,Запад,Сладости,Шоколад,"0,55",179,"98,45"
,2/2/2021,Gold Food,Франкфурт,Запад,Сыры,Гауда,"1,59",155,"246,45"
,2/2/2021,Organica,Штутгарт,Юг,Сладости,Шоколад,"0,55",198,"108,9"
,2/2/2021,Go Bio,Штутгарт,Юг,Масла,Оливковое масло,"1,7",78,"132,6"
,2/2/2021,Go Bio,Штутгарт,Юг,Сладости,Зефир,"0,65",38,"24,7"
,2/2/2021,Go Bio,Штутгарт,Юг,Консервы,Шпроты,"1,15",90,"103,5"
,2/2/2021,Sweetables,Дрезден,Восток,Напитки,Черный чай,"0,99",48,"47,52"
,2/2/2021,Gold Food,Дрезден,Восток,Сыры,Филадельфия ,"0,89",35,"31,15"
,2/2/2021,Gold Food,Кёльн,Запад,Сухофрукты,Курага,"1,19",68,"80,92"
,2/2/2021,Organica,Кёльн,Запад,Масла,Сливочное масло,"1,5",134,201
,2/2/2021,Sweetables,Штутгарт,Юг,Сыры,Моцарелла,"0,59",272,"160,48"
,2/2/2021,Sweetables,Штутгарт,Юг,Специи,Кориандр,"0,65",42,"27,3"
,2/2/2021,mymeal,Дрезден,Восток,Специи,Черный перец,"0,59",27,"15,93"
,2/2/2021,foodbite,Берлин,Восток,Консервы,Килька в томате,"0,89",317,"282,13"
,2/2/2021,mymeal,Берлин,Восток,Специи,Базилик,"0,7",188,"131,6"
,2/2/2021,mymeal,Штутгарт,Юг,Консервы,Шпроты,"1,15",52,"59,8"
,2/2/2021,Organica,Штутгарт,Юг,Сладости,Зефир,"0,65",54,"35,1"
,2/2/2021,foodbite,Гамбург,Север,Крупы,Перловка,"1,2",618,"741,6"
,2/2/2021,foodbite,Гамбург,Север,Масла,Оливковое масло,"1,7",196,"333,2"
,2/2/2021,Cooking Corner,Дрезден,Восток,Сладости,Мармелад,"0,6",78,"46,8"
,2/2/2021,Cooking Corner,Дрезден,Восток,Сладости,Зефир,"0,65",39,"25,35"
,2/3/2021,Go Bio,Кёльн,Запад,Сыры,Филадельфия ,"0,89",65,"57,85"
,2/3/2021,Organica,Штутгарт,Юг,Консервы,Шпроты,"1,15",36,"41,4"
,2/3/2021,NutriFix,Кёльн,Запад,Консервы,Шпроты,"1,15",84,"96,6"
,2/3/2021,Organica,Кёльн,Запад,Сыры,Филадельфия ,"0,89",100,89
,2/3/2021,foodbite,Штутгарт,Юг,Крупы,Рис,"0,96",728,"698,88"
,2/3/2021,Sweetables,Штутгарт,Юг,Крупы,Гречка,"1,4",172,"240,8"
,2/3/2021,mymeal,Дрезден,Восток,Сыры,Гауда,"1,59",150,"238,5"
,2/3/2021,foodbite,Берлин,Восток,Масла,Сливочное масло,"1,5",814,1221
,2/3/2021,mymeal,Берлин,Восток,Консервы,Говядина тушеная,"1,19",78,"92,82"
,2/3/2021,NutriFix,Франкфурт,Запад,Напитки,Кофе,"5,5",15,"82,5"
,2/3/2021,Organica,Франкфурт,Запад,Напитки,Черный чай,"0,99",63,"62,37"
,2/3/2021,NutriFix,Бремен,Север,Масла,Сливочное масло,"1,5",96,144
,2/3/2021,Organica,Штутгарт,Юг,Масла,Сливочное масло,"1,5",182,273
,2/3/2021,foodbite,Бремен,Север,Сухофрукты,Изюм,"0,99",72,"71,28"
,2/3/2021,Organica,Штутгарт,Юг,Напитки,Черный чай,"0,99",240,"237,6"
,2/3/2021,Gold Food,Гамбург,Север,Крупы,Гречка,"1,4",201,"281,4"
,2/3/2021,mymeal,Бремен,Север,Крупы,Гречка,"1,4",67,"93,8"
,2/4/2021,Go Bio,Кёльн,Запад,Крупы,Гречка,"1,4",115,161
,2/4/2021,NutriFix,Кёльн,Запад,Масла,Оливковое масло,"1,7",88,"149,6"
,2/4/2021,Organica,Кёльн,Запад,Сладости,Зефир,"0,65",34,"22,1"
,2/4/2021,foodbite,Штутгарт,Юг,Сухофрукты,Курага,"1,19",120,"142,8"
,2/4/2021,Gold Food,Берлин,Восток,Крупы,Рис,"0,96",592,"568,32"
,2/4/2021,NutriFix,Бремен,Север,Специи,Черный перец,"0,59",41,"24,19"
,2/4/2021,NutriFix,Мюнхен,Юг,Сладости,Шоколад,"0,55",445,"244,75"
,2/4/2021,Organica,Штутгарт,Юг,Сладости,Зефир,"0,65",42,"27,3"
,2/4/2021,foodbite,Бремен,Север,Сухофрукты,Курага,"1,19",46,"54,74"
,2/4/2021,Organica,Бремен,Север,Консервы,Шпроты,"1,15",23,"26,45"
,2/4/2021,Organica,Штутгарт,Юг,Сухофрукты,Изюм,"0,99",92,"91,08"
,2/4/2021,Cooking Corner,Гамбург,Север,Напитки,Зеленый чай,"0,95",635,"603,25"
,2/4/2021,Cooking Corner,Гамбург,Север,Сыры,Филадельфия ,"0,89",234,"208,26"
,2/4/2021,NutriFix,Бремен,Север,Консервы,Шпроты,"1,15",32,"36,8"
,2/4/2021,Cooking Corner,Дрезден,Восток,Сыры,Филадельфия ,"0,89",71,"63,19"
,2/4/2021,Cooking Corner,Бремен,Север,Масла,Сливочное масло,"1,5",187,"280,5"
,2/4/2021,Cooking Corner,Бремен,Север,Сухофрукты,Курага,"1,19",78,"92,82"
,2/4/2021,Cooking Corner,Бремен,Север,Сухофрукты,Изюм,"0,99",122,"120,78"
,2/4/2021,mymeal,Бремен,Север,Специи,Кориандр,"0,65",14,"9,1"
,2/4/2021,foodbite,Дрезден,Восток,Консервы,Шпроты,"1,15",41,"47,15"
,2/5/2021,mymeal,Дрезден,Восток,Сладости,Мармелад,"0,6",49,"29,4"
,2/5/2021,mymeal,Дрезден,Восток,Специи,Базилик,"0,7",21,"14,7"
,2/5/2021,Sweetables,Дрезден,Восток,Масла,Сливочное масло,"1,5",91,"136,5"
,2/5/2021,Sweetables,Дрезден,Восток,Консервы,Килька в томате,"0,89",41,"36,49"
,2/5/2021,NutriFix,Дрезден,Восток,Сладости,Мармелад,"0,6",34,"20,4"
,2/5/2021,Go Bio,Дрезден,Восток,Масла,Оливковое масло,"1,7",24,"40,8"
,2/5/2021,Go Bio,Дрезден,Восток,Крупы,Рис,"0,96",85,"81,6"
,2/5/2021,Gold Food,Берлин,Восток,Консервы,Говядина тушеная,"1,19",140,"166,6"
,2/5/2021,NutriFix,Мюнхен,Юг,Масла,Оливковое масло,"1,7",116,"197,2"
,2/5/2021,NutriFix,Мюнхен,Юг,Крупы,Гречка,"1,4",150,210
,2/5/2021,mymeal,Кёльн,Запад,Сухофрукты,Изюм,"0,99",121,"119,79"
,2/5/2021,Cooking Corner,Штутгарт,Юг,Сухофрукты,Сушеные яблоки,"1,09",168,"183,12"
,2/5/2021,Cooking Corner,Штутгарт,Юг,Напитки,Зеленый чай,"0,95",194,"184,3"
,2/5/2021,Organica,Штутгарт,Юг,Масла,Оливковое масло,"1,7",90,153
,2/5/2021,foodbite,Бремен,Север,Сухофрукты,Сушеные яблоки,"1,09",78,"85,02"
,2/5/2021,Organica,Бремен,Север,Специи,Базилик,"0,7",26,"18,2"
,2/5/2021,mymeal,Франкфурт,Запад,Напитки,Зеленый чай,"0,95",145,"137,75"
,2/5/2021,mymeal,Франкфурт,Запад,Специи,Черный перец,"0,59",41,"24,19"
,2/5/2021,NutriFix,Штутгарт,Юг,Консервы,Говядина тушеная,"1,19",40,"47,6"
,2/5/2021,NutriFix,Штутгарт,Юг,Специи,Кориандр,"0,65",18,"11,7"
